,ward,wardcode,totalhouseholds,broom1,broom1p,broom2,broom2p,broom3,broom3p,broom4,broom4p,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p,car0,car0p,car1,car1p,car2,car2p,car3,car3p,nodis,nodisp,onedis,onedisp,twodis,twodisp,heat0,heat0p,heat1,heat1p,heatnore2,heatnore2p,heatrenew2,heatrenew2p,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
177,Cambridge,E05000935,"6,379","1,609",25.2,"2,211",34.7,"1,601",25.1,958,15.0,"1,774",27.8,"2,335",36.6,"2,119",33.2,140,2.2,10,0.2,"1,966",30.8,"2,878",45.1,"1,183",18.5,355,5.6,"3,890",61.0,"2,075",32.5,415,6.5,108,1.7,52,0.8,448,7.0,10,0.2,"3,814",59.8,59,0.9,720,11.3,"1,782",27.9,4,0.1,649,14.0,742,16.0,253,5.5,421,9.1,459,9.9,100,2.2,60,1.3,64,1.4,"1,509",32.6,524,11.3,985,21.3,"3,126",67.4,"2,600",56.1,526,11.3
178,Church (Sefton),E05000936,"5,745","1,108",19.3,"1,510",26.3,"1,982",34.5,"1,141",19.9,"1,851",32.2,"1,993",34.7,"1,781",31.0,92,1.6,26,0.5,"2,127",37.0,"2,471",43.0,911,15.9,236,4.1,"3,551",61.8,"1,748",30.4,446,7.8,127,2.2,65,1.1,433,7.5,8,0.1,"2,885",50.2,37,0.6,"1,140",19.8,"1,682",29.3,1,0.0,617,10.9,693,12.2,914,16.1,638,11.2,139,2.4,45,0.8,47,0.8,56,1.0,"1,667",29.4,492,8.7,"1,175",20.7,"4,008",70.6,"3,500",61.7,508,9.0
179,Derby (Sefton),E05000937,"5,715",635,11.1,"1,231",21.5,"3,267",57.2,580,10.2,"1,787",31.3,"2,023",35.4,"1,679",29.4,194,3.4,30,0.5,"2,606",45.6,"2,240",39.2,707,12.4,160,2.8,"3,184",55.7,"1,936",33.9,593,10.4,128,2.2,106,1.9,485,8.5,7,0.1,"2,526",44.2,22,0.4,"1,735",30.4,"1,426",25.0,3,0.1,807,14.5,"1,028",18.5,767,13.8,468,8.4,230,4.1,30,0.5,52,0.9,38,0.7,"1,713",30.9,481,8.7,"1,232",22.2,"3,838",69.1,"3,489",62.9,349,6.3
180,Duke's,E05000938,"7,276","2,046",28.1,"2,659",36.5,"1,314",18.1,"1,257",17.3,"1,900",26.1,"2,401",33.0,"2,706",37.2,211,2.9,58,0.8,"2,779",38.2,"3,011",41.4,"1,091",15.0,395,5.4,"4,630",63.7,"2,185",30.0,459,6.3,205,2.8,81,1.1,463,6.4,12,0.2,"3,589",49.3,102,1.4,496,6.8,"3,089",42.5,0,0.0,"1,122",19.0,673,11.4,379,6.4,583,9.9,555,9.4,91,1.5,62,1.0,60,1.0,"1,832",31.0,671,11.3,"1,161",19.6,"4,085",69.0,"3,413",57.7,672,11.4
181,Ford,E05000939,"5,592",613,11.0,"1,136",20.3,"3,249",58.1,594,10.6,"1,851",33.1,"1,977",35.3,"1,581",28.3,128,2.3,56,1.0,"1,933",34.6,"2,317",41.4,"1,088",19.5,254,4.5,"3,164",56.6,"1,878",33.6,550,9.8,87,1.6,58,1.0,399,7.1,11,0.2,"3,003",53.7,30,0.5,"1,786",31.9,769,13.8,4,0.1,574,10.1,"1,179",20.8,793,14.0,567,10.0,136,2.4,41,0.7,47,0.8,54,1.0,"1,808",31.9,456,8.0,"1,352",23.9,"3,860",68.1,"3,441",60.7,419,7.4
182,Harington,E05000940,"4,843",155,3.2,556,11.5,"1,836",37.9,"2,297",47.4,"3,157",65.2,"1,196",24.7,444,9.2,38,0.8,6,0.1,540,11.1,"1,953",40.3,"1,794",37.0,561,11.6,"3,291",68.0,"1,252",25.9,300,6.2,28,0.6,18,0.4,308,6.4,25,0.5,"4,339",89.6,18,0.4,142,2.9,344,7.1,0,0.0,413,8.7,127,2.7,304,6.4,"1,093",23.0,212,4.5,99,2.1,71,1.5,77,1.6,"1,541",32.5,583,12.3,958,20.2,"3,202",67.5,"2,632",55.5,570,12.0
183,Kew (Sefton),E05000941,"5,853",455,7.8,"1,527",26.1,"2,693",46.0,"1,179",20.1,"2,119",36.2,"2,153",36.8,"1,418",24.2,135,2.3,30,0.5,"1,284",21.9,"2,692",46.0,"1,469",25.1,409,7.0,"3,768",64.4,"1,581",27.0,504,8.6,110,1.9,36,0.6,468,8.0,10,0.2,"3,754",64.1,130,2.2,463,7.9,"1,504",25.7,1,0.0,"1,612",24.8,783,12.0,303,4.7,647,10.0,513,7.9,112,1.7,40,0.6,50,0.8,"2,176",33.5,676,10.4,"1,500",23.1,"4,324",66.5,"3,768",58.0,556,8.6
184,Linacre (Sefton),E05000942,"6,460",989,15.3,"2,473",38.3,"2,396",37.1,604,9.3,"1,363",21.1,"2,496",38.6,"2,312",35.8,240,3.7,48,0.7,"3,550",54.9,"2,293",35.5,511,7.9,111,1.7,"3,459",53.5,"2,404",37.2,599,9.3,152,2.4,141,2.2,504,7.8,16,0.2,"1,761",27.3,39,0.6,"2,899",44.9,"1,752",27.1,11,0.2,734,14.0,934,17.8,762,14.6,553,10.6,261,5.0,26,0.5,35,0.7,48,0.9,"1,670",31.9,485,9.3,"1,185",22.6,"3,564",68.1,"3,147",60.1,417,8.0
185,Litherland,E05000943,"5,409",400,7.4,"1,195",22.1,"3,388",62.6,426,7.9,"1,865",34.5,"2,124",39.3,"1,297",24.0,111,2.1,14,0.3,"1,990",36.8,"2,288",42.3,958,17.7,173,3.2,"3,310",61.2,"1,629",30.1,470,8.7,113,2.1,55,1.0,394,7.3,13,0.2,"2,983",55.2,81,1.5,"1,254",23.2,"1,088",20.1,1,0.0,734,13.0,997,17.7,846,15.0,531,9.4,164,2.9,37,0.7,57,1.0,39,0.7,"1,722",30.6,433,7.7,"1,289",22.9,"3,906",69.4,"3,499",62.2,407,7.2
186,Manor (Sefton),E05000944,"5,379",348,6.5,756,14.0,"2,926",54.4,"1,351",25.1,"2,679",49.8,"1,683",31.3,939,17.5,63,1.2,15,0.3,"1,095",20.4,"2,256",41.9,"1,575",29.3,453,8.4,"3,326",61.8,"1,572",29.2,481,8.9,69,1.3,33,0.6,378,7.0,13,0.2,"3,973",73.9,19,0.4,947,17.6,436,8.1,4,0.1,393,7.1,629,11.4,702,12.8,886,16.1,145,2.6,68,1.2,63,1.1,50,0.9,"1,614",29.3,502,9.1,"1,112",20.2,"3,890",70.7,"3,357",61.0,533,9.7
187,Meols,E05000945,"5,291",213,4.0,"1,124",21.2,"2,976",56.2,978,18.5,"2,487",47.0,"2,000",37.8,745,14.1,51,1.0,8,0.2,735,13.9,"2,338",44.2,"1,690",31.9,528,10.0,"3,428",64.8,"1,463",27.7,400,7.6,59,1.1,17,0.3,325,6.1,9,0.2,"4,472",84.5,13,0.2,174,3.3,632,11.9,0,0.0,386,7.1,"1,121",20.6,396,7.3,421,7.8,559,10.3,173,3.2,69,1.3,48,0.9,"1,848",34.0,600,11.0,"1,248",23.0,"3,582",66.0,"3,079",56.7,503,9.3
188,Molyneux,E05000946,"5,151",128,2.5,611,11.9,"3,481",67.6,931,18.1,"2,490",48.4,"1,795",34.9,794,15.4,63,1.2,7,0.1,816,15.8,"2,227",43.2,"1,638",31.8,470,9.1,"3,349",65.0,"1,361",26.4,441,8.6,54,1.0,33,0.6,316,6.1,10,0.2,"4,318",83.8,13,0.3,301,5.8,518,10.1,1,0.0,386,6.4,796,13.2,929,15.4,933,15.5,170,2.8,47,0.8,64,1.1,56,0.9,"1,711",28.4,516,8.6,"1,195",19.9,"4,307",71.6,"3,800",63.1,507,8.4
189,Netherton and Orrell,E05000947,"5,320",228,4.3,557,10.5,"3,918",73.6,618,11.6,"2,218",41.7,"1,804",33.9,"1,185",22.3,99,1.9,14,0.3,"1,577",29.6,"2,324",43.7,"1,134",21.3,285,5.4,"3,092",58.1,"1,657",31.1,571,10.7,84,1.6,52,1.0,360,6.8,10,0.2,"3,354",63.0,28,0.5,"1,315",24.7,619,11.6,4,0.1,716,11.9,"1,010",16.7,873,14.5,641,10.6,189,3.1,45,0.7,68,1.1,56,0.9,"1,884",31.2,526,8.7,"1,358",22.5,"4,152",68.8,"3,706",61.4,446,7.4
190,Norwood,E05000948,"6,086",363,6.0,"1,599",26.3,"2,912",47.8,"1,212",19.9,"2,213",36.4,"2,319",38.1,"1,370",22.5,163,2.7,21,0.3,"1,156",19.0,"2,753",45.2,"1,692",27.8,485,8.0,"3,831",62.9,"1,737",28.5,518,8.5,97,1.6,46,0.8,497,8.2,16,0.3,"4,244",69.7,33,0.5,470,7.7,"1,339",22.0,0,0.0,"1,565",22.0,"1,036",14.6,279,3.9,620,8.7,599,8.4,138,1.9,62,0.9,61,0.9,"2,417",34.0,752,10.6,"1,665",23.4,"4,697",66.0,"4,070",57.2,627,8.8
191,Park (Sefton),E05000949,"5,091",302,5.9,788,15.5,"2,803",55.0,"1,199",23.5,"2,497",49.0,"1,750",34.4,778,15.3,59,1.2,7,0.1,773,15.2,"2,037",40.0,"1,738",34.1,542,10.6,"3,457",67.9,"1,275",25.0,359,7.1,64,1.3,25,0.5,355,7.0,10,0.2,"4,429",87.0,19,0.4,221,4.3,424,8.3,0,0.0,299,5.3,329,5.9,983,17.6,"1,013",18.1,238,4.3,53,0.9,62,1.1,49,0.9,"1,667",29.8,523,9.3,"1,144",20.4,"3,928",70.2,"3,396",60.7,532,9.5
192,Ravenmeols,E05000950,"5,273",184,3.5,969,18.4,"2,768",52.5,"1,352",25.6,"2,686",50.9,"1,831",34.7,700,13.3,45,0.9,11,0.2,786,14.9,"2,369",44.9,"1,674",31.7,444,8.4,"3,509",66.5,"1,404",26.6,360,6.8,51,1.0,16,0.3,381,7.2,16,0.3,"4,387",83.2,21,0.4,212,4.0,652,12.4,1,0.0,596,11.4,116,2.2,443,8.5,"1,149",22.0,283,5.4,93,1.8,65,1.2,46,0.9,"1,720",32.9,637,12.2,"1,083",20.7,"3,509",67.1,"3,001",57.4,508,9.7
193,St Oswald (Sefton),E05000951,"5,104",397,7.8,"1,027",20.1,"3,251",63.7,430,8.4,"1,797",35.2,"1,914",37.5,"1,250",24.5,128,2.5,15,0.3,"1,967",38.5,"2,093",41.0,825,16.2,219,4.3,"2,754",54.0,"1,788",35.0,562,11.0,112,2.2,77,1.5,379,7.4,12,0.2,"2,664",52.2,45,0.9,"1,686",33.0,701,13.7,7,0.1,486,10.3,900,19.1,618,13.1,554,11.8,117,2.5,45,1.0,33,0.7,50,1.1,"1,523",32.3,390,8.3,"1,133",24.0,"3,190",67.7,"2,841",60.3,349,7.4
194,Sudell,E05000952,"5,632",216,3.8,822,14.6,"3,495",62.0,"1,100",19.5,"2,803",49.8,"1,935",34.4,827,14.7,62,1.1,6,0.1,973,17.3,"2,494",44.3,"1,666",29.6,499,8.9,"3,718",66.0,"1,475",26.2,440,7.8,56,1.0,18,0.3,334,5.9,13,0.2,"4,672",83.0,51,0.9,356,6.3,553,9.8,0,0.0,423,6.9,375,6.2,"1,024",16.8,"1,186",19.5,188,3.1,59,1.0,65,1.1,56,0.9,"1,710",28.0,504,8.3,"1,206",19.8,"4,388",72.0,"3,886",63.7,502,8.2
195,Victoria (Sefton),E05000953,"5,524",306,5.5,668,12.1,"3,008",54.5,"1,542",27.9,"2,768",50.1,"1,823",33.0,867,15.7,58,1.0,8,0.1,"1,011",18.3,"2,548",46.1,"1,612",29.2,351,6.4,"3,745",67.8,"1,416",25.6,363,6.6,87,1.6,28,0.5,347,6.3,8,0.1,"4,386",79.4,13,0.2,325,5.9,798,14.4,2,0.0,684,10.2,509,7.6,974,14.5,890,13.3,184,2.7,73,1.1,49,0.7,69,1.0,"1,863",27.8,542,8.1,"1,321",19.7,"4,841",72.2,"4,200",62.6,641,9.6
196,Billinge & Seneley Green,E05014120,"4,605",158,3.4,928,20.2,"2,727",59.2,792,17.2,"2,257",49.0,"1,585",34.4,697,15.1,61,1.3,5,0.1,626,13.6,"1,920",41.7,"1,531",33.2,528,11.5,"2,934",63.7,"1,285",27.9,386,8.4,46,1.0,9,0.2,318,6.9,9,0.2,"3,833",83.2,15,0.3,400,8.7,355,7.7,3,0.1,196,4.2,505,10.9,905,19.5,624,13.4,326,7.0,86,1.9,24,0.5,51,1.1,"1,294",27.8,402,8.6,892,19.2,"3,354",72.2,"2,896",62.3,458,9.9
197,Blackbrook (St. Helens),E05014121,"4,554",141,3.1,952,20.9,"3,141",69.0,320,7.0,"1,915",42.1,"1,625",35.7,909,20.0,96,2.1,8,0.2,924,20.3,"2,001",43.9,"1,260",27.7,369,8.1,"2,680",58.8,"1,380",30.3,495,10.9,60,1.3,27,0.6,360,7.9,9,0.2,"3,194",70.1,16,0.4,820,18.0,523,11.5,1,0.0,459,9.8,"1,094",23.3,596,12.7,622,13.3,183,3.9,73,1.6,9,0.2,38,0.8,"1,291",27.5,352,7.5,939,20.0,"3,398",72.5,"3,042",64.9,356,7.6
198,Bold & Lea Green,E05014122,"4,962",252,5.1,919,18.5,"2,930",59.0,864,17.4,"2,105",42.4,"1,707",34.4,"1,017",20.5,119,2.4,14,0.3,980,19.8,"2,005",40.4,"1,542",31.1,435,8.8,"3,094",62.4,"1,387",28.0,481,9.7,36,0.7,50,1.0,446,9.0,14,0.3,"3,158",63.6,35,0.7,"1,190",24.0,574,11.6,5,0.1,341,6.1,"1,210",21.6,833,14.9,771,13.8,156,2.8,94,1.7,19,0.3,49,0.9,"1,531",27.3,452,8.1,"1,079",19.3,"4,074",72.7,"3,595",64.1,479,8.5
199,Eccleston,E05014123,"4,492",174,3.9,591,13.2,"2,512",55.9,"1,215",27.0,"2,510",55.9,"1,354",30.1,574,12.8,47,1.0,7,0.2,563,12.5,"1,739",38.7,"1,683",37.5,507,11.3,"2,964",66.0,"1,213",27.0,314,7.0,29,0.6,18,0.4,304,6.8,6,0.1,"3,819",85.0,8,0.2,345,7.7,319,7.1,1,0.0,295,6.4,695,15.1,537,11.7,789,17.2,93,2.0,80,1.7,33,0.7,47,1.0,"1,186",25.8,389,8.5,797,17.3,"3,417",74.2,"2,932",63.7,485,10.5
200,Haydock,E05014124,"4,825",305,6.3,"1,187",24.6,"2,778",57.6,555,11.5,"1,889",39.2,"1,865",38.7,979,20.3,86,1.8,6,0.1,"1,038",21.5,"2,038",42.2,"1,342",27.8,407,8.4,"2,912",60.4,"1,423",29.5,490,10.2,58,1.2,34,0.7,322,6.7,7,0.1,"3,261",67.6,44,0.9,860,17.8,649,13.5,11,0.2,660,13.5,660,13.5,814,16.7,618,12.7,249,5.1,90,1.8,21,0.4,53,1.1,"1,298",26.6,374,7.7,924,19.0,"3,576",73.4,"3,152",64.7,424,8.7
201,Moss Bank,E05014125,"4,842",332,6.9,"1,105",22.8,"2,987",61.7,418,8.6,"1,888",39.0,"1,796",37.1,"1,070",22.1,79,1.6,11,0.2,"1,034",21.4,"2,066",42.7,"1,361",28.1,381,7.9,"2,870",59.3,"1,515",31.3,457,9.4,48,1.0,33,0.7,380,7.8,12,0.2,"3,264",67.4,23,0.5,"1,092",22.5,459,9.5,6,0.1,313,6.6,928,19.6,744,15.7,699,14.8,161,3.4,100,2.1,27,0.6,45,0.9,"1,336",28.2,386,8.2,950,20.1,"3,399",71.8,"2,998",63.3,401,8.5
202,Newton-le-Willows East,E05014126,"5,438",267,4.9,"1,316",24.2,"2,936",54.0,919,16.9,"2,193",40.3,"2,118",39.0,"1,025",18.9,92,1.7,8,0.1,"1,065",19.6,"2,282",42.0,"1,691",31.1,401,7.4,"3,586",65.9,"1,448",26.6,404,7.4,49,0.9,46,0.8,387,7.1,20,0.4,"3,526",64.9,50,0.9,"1,177",21.6,680,12.5,4,0.1,497,8.0,613,9.9,"1,046",16.8,644,10.4,492,7.9,122,2.0,24,0.4,55,0.9,"1,530",24.6,431,6.9,"1,099",17.7,"4,679",75.4,"4,113",66.2,566,9.1
203,Newton-le-Willows West,E05014127,"5,734",528,9.2,"1,779",31.0,"2,777",48.4,650,11.3,"1,856",32.4,"2,255",39.3,"1,483",25.9,122,2.1,18,0.3,"1,364",23.8,"2,413",42.1,"1,597",27.9,360,6.3,"3,574",62.3,"1,710",29.8,452,7.9,64,1.1,62,1.1,458,8.0,11,0.2,"3,167",55.2,103,1.8,"1,522",26.5,939,16.4,3,0.1,572,9.3,727,11.8,"1,087",17.6,594,9.6,431,7.0,107,1.7,22,0.4,56,0.9,"1,536",24.9,445,7.2,"1,091",17.7,"4,636",75.1,"4,106",66.5,530,8.6
204,Parr,E05014128,"5,464",466,8.5,"1,834",33.6,"2,890",52.9,274,5.0,"1,324",24.2,"2,238",41.0,"1,657",30.3,222,4.1,23,0.4,"2,062",37.7,"2,254",41.3,933,17.1,215,3.9,"2,925",53.5,"1,899",34.8,639,11.7,84,1.5,89,1.6,534,9.8,18,0.3,"2,141",39.2,23,0.4,"2,105",38.5,"1,178",21.6,16,0.3,673,13.6,"1,247",25.3,665,13.5,563,11.4,162,3.3,88,1.8,11,0.2,45,0.9,"1,453",29.5,400,8.1,"1,053",21.4,"3,474",70.5,"3,073",62.4,401,8.1
205,Peasley Cross & Fingerpost,E05014129,"1,498",108,7.2,623,41.6,682,45.5,85,5.7,337,22.5,671,44.8,431,28.8,55,3.7,4,0.3,598,39.9,613,40.9,240,16.0,47,3.1,789,52.7,552,36.8,157,10.5,31,2.1,19,1.3,130,8.7,3,0.2,530,35.4,58,3.9,567,37.9,341,22.8,1,0.1,267,20.7,187,14.5,223,17.3,156,12.1,33,2.6,18,1.4,1,0.1,19,1.5,410,31.8,114,8.8,296,22.9,880,68.2,781,60.5,99,7.7
206,Rainford,E05014130,"3,503",103,2.9,729,20.8,"1,921",54.8,750,21.4,"1,781",50.9,"1,223",34.9,457,13.0,37,1.1,4,0.1,405,11.6,"1,423",40.6,"1,265",36.1,412,11.8,"2,330",66.5,905,25.8,268,7.7,35,1.0,4,0.1,242,6.9,17,0.5,"2,928",83.6,15,0.4,232,6.6,329,9.4,0,0.0,203,6.0,156,4.6,638,18.8,657,19.3,104,3.1,72,2.1,30,0.9,37,1.1,944,27.8,305,9.0,639,18.8,"2,451",72.2,"2,094",61.7,357,10.5
207,Rainhill,E05014131,"4,962",147,3.0,901,18.2,"3,025",61.0,889,17.9,"2,411",48.6,"1,714",34.5,765,15.4,72,1.5,2,0.0,793,16.0,"2,202",44.4,"1,525",30.7,442,8.9,"3,194",64.4,"1,376",27.7,389,7.8,57,1.1,23,0.5,317,6.4,11,0.2,"4,012",80.9,56,1.1,349,7.0,540,10.9,5,0.1,531,10.4,656,12.9,669,13.1,827,16.2,81,1.6,87,1.7,40,0.8,57,1.1,"1,390",27.3,432,8.5,958,18.8,"3,705",72.7,"3,245",63.7,460,9.0
208,St Helens Town Centre,E05014132,"4,082",824,20.2,"1,762",43.2,"1,322",32.4,174,4.3,679,16.6,"1,746",42.8,"1,547",37.9,105,2.6,4,0.1,"1,878",46.0,"1,641",40.2,461,11.3,102,2.5,"2,356",57.7,"1,431",35.1,295,7.2,91,2.2,64,1.6,345,8.5,9,0.2,"1,438",35.2,24,0.6,"1,287",31.5,"1,325",32.5,8,0.2,723,20.8,481,13.9,567,16.3,495,14.3,71,2.0,63,1.8,7,0.2,29,0.8,952,27.5,310,8.9,642,18.5,"2,516",72.5,"2,243",64.7,273,7.9
209,Sutton North West,E05014133,"3,126",150,4.8,654,20.9,"2,092",66.9,230,7.4,"1,273",40.7,"1,174",37.6,596,19.1,73,2.3,9,0.3,714,22.8,"1,455",46.6,771,24.7,185,5.9,"1,905",60.9,915,29.3,307,9.8,41,1.3,11,0.4,250,8.0,1,0.0,"2,155",68.9,5,0.2,568,18.2,397,12.7,2,0.1,449,13.6,593,18.0,472,14.3,453,13.7,110,3.3,61,1.9,20,0.6,25,0.8,915,27.8,257,7.8,658,20.0,"2,380",72.2,"2,123",64.4,257,7.8
210,Sutton South East,E05014134,"2,959",174,5.9,884,29.9,"1,602",54.1,300,10.1,"1,054",35.6,"1,201",40.6,624,21.1,71,2.4,10,0.3,648,21.9,"1,372",46.4,767,25.9,170,5.7,"1,822",61.5,886,29.9,253,8.5,44,1.5,26,0.9,264,8.9,8,0.3,"1,878",63.4,16,0.5,386,13.0,681,23.0,1,0.0,305,9.6,632,19.8,485,15.2,409,12.8,102,3.2,71,2.2,10,0.3,32,1.0,831,26.1,266,8.4,565,17.7,"2,353",73.9,"2,103",66.0,250,7.9
211,Thatto Heath,E05014135,"5,719",444,7.8,"1,593",27.9,"2,832",49.5,850,14.9,"1,971",34.5,"2,192",38.3,"1,372",24.0,161,2.8,23,0.4,"1,636",28.6,"2,358",41.2,"1,338",23.4,387,6.8,"3,314",57.9,"1,837",32.1,568,9.9,65,1.1,59,1.0,485,8.5,14,0.2,"3,155",55.2,44,0.8,"1,568",27.4,946,16.5,6,0.1,590,10.2,"1,238",21.4,767,13.3,861,14.9,116,2.0,90,1.6,24,0.4,54,0.9,"1,597",27.6,472,8.2,"1,125",19.5,"4,183",72.4,"3,629",62.8,554,9.6
212,West Park (St. Helens),E05014136,"5,468",312,5.7,"2,066",37.8,"2,615",47.8,478,8.7,"1,679",30.7,"2,418",44.2,"1,236",22.6,123,2.2,15,0.3,"1,415",25.9,"2,554",46.7,"1,219",22.3,283,5.2,"3,398",62.1,"1,654",30.2,417,7.6,102,1.9,53,1.0,444,8.1,7,0.1,"3,349",61.2,66,1.2,754,13.8,"1,298",23.7,3,0.1,771,13.9,"1,065",19.2,689,12.4,794,14.3,101,1.8,90,1.6,22,0.4,55,1.0,"1,528",27.6,448,8.1,"1,080",19.5,"4,018",72.4,"3,559",64.2,459,8.3
213,Windle,E05014137,"4,774",308,6.5,"1,028",21.5,"2,740",57.4,698,14.6,"1,928",40.4,"1,722",36.1,"1,031",21.6,84,1.8,9,0.2,"1,042",21.8,"1,950",40.8,"1,405",29.4,377,7.9,"3,000",62.8,"1,341",28.1,433,9.1,62,1.3,32,0.7,339,7.1,15,0.3,"3,239",67.9,25,0.5,774,16.2,730,15.3,4,0.1,584,11.4,728,14.3,733,14.4,863,16.9,108,2.1,101,2.0,38,0.7,32,0.6,"1,318",25.8,365,7.1,953,18.7,"3,787",74.2,"3,313",64.9,474,9.3
214,Bramhall North,E05000779,"5,288",191,3.6,899,17.0,"1,890",35.7,"2,309",43.7,"3,061",57.9,"1,535",29.0,632,12.0,54,1.0,6,0.1,439,8.3,"2,111",39.9,"2,089",39.5,649,12.3,"3,801",71.9,"1,167",22.1,320,6.1,43,0.8,13,0.2,320,6.1,24,0.5,"4,493",85.0,43,0.8,216,4.1,535,10.1,1,0.0,341,5.7,854,14.4,608,10.2,659,11.1,85,1.4,36,0.6,55,0.9,51,0.9,"1,802",30.3,627,10.6,"1,175",19.8,"4,137",69.7,"3,417",57.5,720,12.1
215,Bramhall South and Woodford,E05000780,"5,212",120,2.3,638,12.2,"2,005",38.5,"2,449",47.0,"3,362",64.5,"1,403",26.9,413,7.9,31,0.6,3,0.1,457,8.8,"1,933",37.1,"2,138",41.0,684,13.1,"3,822",73.3,"1,122",21.5,268,5.1,21,0.4,7,0.1,317,6.1,26,0.5,"4,726",90.7,17,0.3,142,2.7,324,6.2,3,0.1,281,4.8,593,10.1,699,12.0,689,11.8,124,2.1,56,1.0,49,0.8,63,1.1,"1,774",30.3,710,12.1,"1,064",18.2,"4,072",69.7,"3,273",56.0,799,13.7
216,Bredbury Green and Romiley,E05000782,"6,320",686,10.9,"1,654",26.2,"2,828",44.7,"1,152",18.2,"2,426",38.4,"2,146",34.0,"1,591",25.2,136,2.2,21,0.3,"1,333",21.1,"2,675",42.3,"1,809",28.6,503,8.0,"3,927",62.1,"1,903",30.1,490,7.8,64,1.0,33,0.5,490,7.8,24,0.4,"4,388",69.4,40,0.6,"1,254",19.8,630,10.0,8,0.1,486,8.0,872,14.3,966,15.8,710,11.6,69,1.1,38,0.6,54,0.9,41,0.7,"1,784",29.2,574,9.4,"1,210",19.8,"4,325",70.8,"3,749",61.4,576,9.4
217,Bredbury and Woodley,E05000781,"6,029",469,7.8,"1,832",30.4,"2,877",47.7,851,14.1,"2,180",36.2,"2,382",39.5,"1,352",22.4,96,1.6,19,0.3,"1,055",17.5,"2,631",43.6,"1,814",30.1,529,8.8,"3,978",66.0,"1,633",27.1,416,6.9,69,1.1,19,0.3,474,7.9,13,0.2,"4,570",75.8,112,1.9,623,10.3,718,11.9,4,0.1,517,7.9,"1,056",16.2,980,15.0,777,11.9,82,1.3,46,0.7,43,0.7,48,0.7,"1,770",27.1,540,8.3,"1,230",18.8,"4,758",72.9,"4,211",64.5,547,8.4
218,Brinnington and Central,E05000783,"8,681","2,444",28.2,"3,578",41.2,"2,275",26.2,384,4.4,"1,131",13.0,"2,797",32.2,"4,238",48.8,475,5.5,40,0.5,"4,051",46.7,"3,374",38.9,"1,046",12.0,210,2.4,"4,974",57.3,"3,032",34.9,675,7.8,165,1.9,238,2.7,699,8.1,76,0.9,"2,484",28.6,290,3.3,"4,017",46.3,"1,871",21.6,17,0.2,"1,081",14.5,"1,374",18.4,"1,244",16.7,677,9.1,76,1.0,46,0.6,57,0.8,64,0.9,"2,103",28.1,612,8.2,"1,491",20.0,"5,368",71.9,"4,890",65.5,478,6.4
219,Cheadle Hulme North,E05000785,"5,852",482,8.2,"1,345",23.0,"2,869",49.0,"1,155",19.7,"2,408",41.1,"2,105",36.0,"1,229",21.0,98,1.7,13,0.2,"1,050",17.9,"2,522",43.1,"1,839",31.4,441,7.5,"3,915",66.9,"1,572",26.9,366,6.3,62,1.1,30,0.5,393,6.7,18,0.3,"4,399",75.2,26,0.4,779,13.3,641,11.0,7,0.1,610,9.5,994,15.5,822,12.8,598,9.3,87,1.4,39,0.6,58,0.9,44,0.7,"1,912",29.9,595,9.3,"1,317",20.6,"4,489",70.1,"3,960",61.9,529,8.3
220,Cheadle Hulme South,E05000786,"5,856",513,8.8,900,15.4,"2,369",40.5,"2,074",35.4,"2,891",49.4,"1,789",30.6,"1,104",18.9,64,1.1,5,0.1,752,12.8,"2,396",40.9,"2,098",35.8,610,10.4,"4,157",71.0,"1,380",23.6,319,5.4,53,0.9,14,0.2,335,5.7,23,0.4,"4,613",78.7,47,0.8,454,7.8,741,12.6,3,0.1,514,7.4,889,12.9,796,11.5,758,11.0,133,1.9,41,0.6,60,0.9,63,0.9,"1,983",28.7,705,10.2,"1,278",18.5,"4,920",71.3,"4,231",61.3,689,10.0
221,Cheadle and Gatley,E05000784,"6,383",513,8.0,"1,194",18.7,"2,559",40.1,"2,117",33.2,"2,885",45.2,"2,188",34.3,"1,160",18.2,135,2.1,15,0.2,914,14.3,"2,557",40.1,"2,237",35.0,675,10.6,"4,336",67.9,"1,651",25.9,396,6.2,47,0.7,30,0.5,453,7.1,14,0.2,"5,093",79.8,25,0.4,461,7.2,804,12.6,2,0.0,474,6.4,864,11.6,"1,212",16.3,680,9.1,173,2.3,38,0.5,88,1.2,65,0.9,"2,185",29.4,822,11.0,"1,363",18.3,"5,257",70.6,"4,466",60.0,791,10.6
