ward,wardcode,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p
Allerton and Hunts Cross,E05000886,"3,213",49.9,"2,145",33.3,963,15.0,100,1.6,16,0.2
Anfield,E05000887,"1,952",30.1,"2,402",37.1,"1,854",28.6,239,3.7,36,0.6
Belle Vale (Liverpool),E05000888,"2,433",35.4,"2,561",37.2,"1,673",24.3,189,2.7,22,0.3
Central (Liverpool),E05000889,878,12.2,"2,430",33.7,"3,594",49.9,265,3.7,38,0.5
Childwall,E05000890,"2,722",52.6,"1,654",32.0,732,14.2,53,1.0,9,0.2
Church (Liverpool),E05000891,"3,099",54.7,"1,785",31.5,708,12.5,59,1.0,13,0.2
Clubmoor,E05000892,"2,495",37.5,"2,285",34.4,"1,613",24.3,219,3.3,34,0.5
County,E05000893,"1,649",26.0,"2,688",42.3,"1,778",28.0,207,3.3,28,0.4
Cressington,E05000894,"2,955",46.0,"2,025",31.5,"1,311",20.4,117,1.8,12,0.2
Croxteth,E05000895,"2,030",33.9,"2,435",40.6,"1,333",22.2,170,2.8,24,0.4
Everton (Liverpool),E05000896,"1,640",21.0,"2,902",37.1,"2,916",37.3,320,4.1,43,0.5
Fazakerley,E05000897,"2,558",37.3,"2,616",38.2,"1,509",22.0,147,2.1,21,0.3
Greenbank,E05000898,"1,748",30.9,"1,894",33.5,"1,841",32.5,155,2.7,23,0.4
Kensington and Fairfield,E05000899,"1,608",22.6,"2,418",34.0,"2,579",36.2,421,5.9,89,1.3
Kirkdale,E05000900,"1,751",20.4,"3,496",40.6,"3,016",35.1,290,3.4,50,0.6
Knotty Ash,E05000901,"2,547",41.4,"2,056",33.4,"1,367",22.2,135,2.2,45,0.7
Mossley Hill,E05000902,"2,426",45.8,"1,883",35.5,920,17.4,53,1.0,16,0.3
Norris Green,E05000903,"2,444",31.0,"2,822",35.8,"2,262",28.7,301,3.8,51,0.6
Old Swan,E05000904,"2,222",31.3,"2,750",38.8,"1,870",26.4,225,3.2,29,0.4
Picton,E05000905,"1,528",20.5,"2,718",36.6,"2,636",35.4,445,6.0,109,1.5
Princes Park (Liverpool),E05000906,"1,006",12.2,"2,598",31.5,"4,003",48.5,512,6.2,128,1.6
Riverside (Liverpool),E05000907,"1,456",12.7,"4,551",39.8,"4,978",43.6,381,3.3,56,0.5
Speke-Garston,E05000909,"2,729",29.2,"3,435",36.7,"2,819",30.2,325,3.5,39,0.4
St Michael's (Liverpool),E05000908,"1,820",29.0,"2,210",35.2,"2,136",34.0,101,1.6,14,0.2
Tuebrook and Stoneycroft,E05000910,"2,277",32.4,"2,419",34.4,"2,033",28.9,257,3.7,51,0.7
Warbreck (Liverpool),E05000911,"2,542",38.9,"2,306",35.3,"1,535",23.5,130,2.0,19,0.3
